x y V
-13.800000 -13.500000 0.000000
-13.593893 -13.500000 0.000000
-13.387786 -13.500000 0.000000
-13.181679 -13.500000 0.000000
-12.975573 -13.500000 0.000000
-12.769466 -13.500000 0.000000
-12.563359 -13.500000 0.000000
-12.357252 -13.500000 0.000000
-12.151145 -13.500000 0.000000
-11.945038 -13.500000 0.000000
-11.738931 -13.500000 0.000000
-11.532824 -13.500000 0.000000
-11.326718 -13.500000 0.000000
-11.120611 -13.500000 0.000000
-10.914504 -13.500000 0.000000
-10.708397 -13.500000 0.000000
-10.502290 -13.500000 0.000000
-10.296183 -13.500000 0.000000
-10.090076 -13.500000 0.000000
-9.883969 -13.500000 0.000000
-9.677863 -13.500000 0.000000
-9.471756 -13.500000 0.000000
-9.265649 -13.500000 0.000000
-9.059542 -13.500000 0.000000
-8.853435 -13.500000 0.000000
-8.647328 -13.500000 0.000000
-8.441221 -13.500000 0.000000
-8.235115 -13.500000 0.000000
-8.029008 -13.500000 0.000000
-7.822901 -13.500000 0.000000
-7.616794 -13.500000 0.000000
-7.410687 -13.500000 0.000000
-7.204580 -13.500000 0.000000
-6.998473 -13.500000 0.000000
-6.792366 -13.500000 0.000000
-6.586260 -13.500000 0.000000
-6.380153 -13.500000 0.000000
-6.174046 -13.500000 0.000000
-5.967939 -13.500000 0.000000
-5.761832 -13.500000 0.000000
-5.555725 -13.500000 0.000000
-5.349618 -13.500000 0.000000
-5.143511 -13.500000 0.000000
-4.937405 -13.500000 0.000000
-4.731298 -13.500000 0.000000
-4.525191 -13.500000 0.000000
-4.319084 -13.500000 0.000000
-4.112977 -13.500000 0.000000
-3.906870 -13.500000 0.000000
-3.700763 -13.500000 0.000000
-3.494656 -13.500000 0.000000
-3.288550 -13.500000 0.000000
-3.082443 -13.500000 0.000000
-2.876336 -13.500000 0.000000
-2.670229 -13.500000 0.000000
-2.464122 -13.500000 0.000000
-2.258015 -13.500000 0.000000
-2.051908 -13.500000 0.000000
-1.845802 -13.500000 0.000000
-1.639695 -13.500000 0.000000
-1.433588 -13.500000 0.000000
-1.227481 -13.500000 0.000000
-1.021374 -13.500000 0.000000
-0.815267 -13.500000 0.000000
-0.609160 -13.500000 0.000000
-0.403053 -13.500000 0.000000
-0.196947 -13.500000 0.000000
0.009160 -13.500000 0.000000
0.215267 -13.500000 0.000000
0.421374 -13.500000 0.000000
0.627481 -13.500000 0.000000
0.833588 -13.500000 0.000000
1.039695 -13.500000 0.000000
1.245802 -13.500000 0.000000
1.451908 -13.500000 0.000000
1.658015 -13.500000 0.000000
1.864122 -13.500000 0.000000
2.070229 -13.500000 0.000000
2.276336 -13.500000 0.000000
2.482443 -13.500000 0.000000
2.688550 -13.500000 0.000000
2.894656 -13.500000 0.000000
3.100763 -13.500000 0.000000
3.306870 -13.500000 0.000000
3.512977 -13.500000 0.000000
3.719084 -13.500000 0.000000
3.925191 -13.500000 0.000000
4.131298 -13.500000 0.000000
4.337405 -13.500000 0.000000
4.543511 -13.500000 0.000000
4.749618 -13.500000 0.000000
4.955725 -13.500000 0.000000
5.161832 -13.500000 0.000000
5.367939 -13.500000 0.000000
5.574046 -13.500000 0.000000
